PC_NAME,HOUR,CPU_PERCENTAGE,MEMORY,MEMORY_PERCENTAGE 
DESKTOP-O325S3M,19:33:22,3,3951,55
DESKTOP-O325S3M,19:33:25,35,3953,55
DESKTOP-O325S3M,19:33:29,15,3916,54
DESKTOP-O325S3M,19:33:32,13,3944,55
DESKTOP-O325S3M,19:33:35,1,3885,54
DESKTOP-O325S3M,19:33:38,36,3922,54
DESKTOP-O325S3M,19:33:41,2,3922,54
DESKTOP-O325S3M,19:33:44,4,3921,54
DESKTOP-O325S3M,19:33:47,5,3921,54
DESKTOP-O325S3M,19:33:50,1,3921,54
DESKTOP-O325S3M,19:33:53,0,3912,54
DESKTOP-O325S3M,19:33:56,7,3894,54
DESKTOP-O325S3M,19:33:59,27,3909,54
DESKTOP-O325S3M,19:34:02,6,3933,54
DESKTOP-O325S3M,19:34:05,4,3930,54
DESKTOP-O325S3M,19:34:08,2,3929,54
DESKTOP-O325S3M,19:34:11,3,3929,54
DESKTOP-O325S3M,19:34:14,0,3929,54
DESKTOP-O325S3M,19:34:17,1,3936,54
DESKTOP-O325S3M,19:34:20,5,3933,54
DESKTOP-O325S3M,19:34:23,4,3932,54
DESKTOP-O325S3M,19:34:26,2,3932,54
DESKTOP-O325S3M,19:34:29,1,3933,54
DESKTOP-O325S3M,19:34:32,7,3943,55
DESKTOP-O325S3M,19:34:35,37,3943,55
DESKTOP-O325S3M,19:34:38,1,3942,54
DESKTOP-O325S3M,19:34:41,11,3943,55
DESKTOP-O325S3M,19:34:44,5,3947,55
DESKTOP-O325S3M,19:34:47,14,3947,55
DESKTOP-O325S3M,19:34:50,2,3947,55
DESKTOP-O325S3M,19:34:53,7,3946,55
DESKTOP-O325S3M,19:34:56,3,3949,55
DESKTOP-O325S3M,19:34:59,1,3947,55
DESKTOP-O325S3M,19:35:02,3,3947,55
DESKTOP-O325S3M,19:35:05,0,3947,55
DESKTOP-O325S3M,19:35:08,0,3947,55
DESKTOP-O325S3M,19:35:11,2,3947,55
DESKTOP-O325S3M,19:35:14,4,3947,55
DESKTOP-O325S3M,19:35:17,4,3947,55
DESKTOP-O325S3M,19:35:20,1,3947,55
DESKTOP-O325S3M,19:35:23,1,3947,55
DESKTOP-O325S3M,19:35:26,3,3948,55
DESKTOP-O325S3M,19:35:29,1,3948,55
DESKTOP-O325S3M,19:35:32,5,3952,55
DESKTOP-O325S3M,19:35:35,3,3954,55
DESKTOP-O325S3M,19:35:38,0,3958,55
DESKTOP-O325S3M,19:35:41,3,3959,55
DESKTOP-O325S3M,19:35:44,1,3971,55
DESKTOP-O325S3M,19:35:47,1,3971,55
DESKTOP-O325S3M,19:35:50,4,3971,55
DESKTOP-O325S3M,19:35:53,2,3971,55
DESKTOP-O325S3M,19:35:56,23,3971,55
DESKTOP-O325S3M,19:35:59,0,3971,55
