PC_NAME,HOUR,x,CPU_PERCENTAGE,MEMORY,MEMORY_PERCENTAGE
HOM102604,22:26:11,67,2,1243,8
HOM102604,22:26:13,67,1,1243,8
HOM102604,22:26:15,69,1,1244,8
HOM102604,22:26:17,67,2,1244,8
HOM102604,22:26:19,72,1,1243,8
HOM102604,22:26:21,74,2,1244,8
HOM102604,22:26:23,64,1,1244,8
HOM102604,22:26:25,69,1,1245,8
HOM102604,22:26:27,74,1,1245,8
HOM102604,22:26:29,68,2,1246,8
HOM102604,22:26:31,75,1,1246,8
HOM102604,22:26:33,68,2,1247,8
HOM102604,22:26:35,66,2,1248,8
HOM102604,22:26:37,77,1,1241,8
HOM102604,22:26:39,74,2,1240,8
HOM102604,22:26:41,68,1,1240,8
HOM102604,22:26:43,72,2,1240,8
HOM102604,22:26:45,76,2,1240,8
HOM102604,22:26:47,66,2,1240,8
HOM102604,22:26:49,71,2,1241,8
HOM102604,22:26:51,74,37,1240,8
HOM102604,22:26:53,63,1,1240,8
HOM102604,22:26:55,68,1,1241,8
HOM102604,22:26:57,69,1,1241,8
HOM102604,22:26:59,71,2,1242,8
HOM102604,22:27:01,84,1,1243,8
HOM102604,22:27:03,77,2,1243,8
HOM102604,22:27:05,73,1,1244,8
HOM102604,22:27:07,73,5,1248,8
HOM102604,22:27:09,63,1,1250,8
HOM102604,22:27:11,63,4,1254,8
HOM102604,22:27:13,68,1,1250,8
HOM102604,22:27:15,68,1,1251,8
HOM102604,22:27:17,67,1,1251,8
HOM102604,22:27:19,68,4,1252,8
HOM102604,22:27:21,70,4,1252,8
HOM102604,22:27:23,76,1,1252,8
HOM102604,22:27:25,60,11,1252,8
HOM102604,22:27:27,68,4,1232,8
HOM102604,22:27:29,73,2,1232,8
HOM102604,22:27:31,62,2,1232,8
HOM102604,22:27:33,71,4,1232,8
HOM102604,22:27:35,86,1,1232,8
HOM102604,22:27:37,70,1,1224,7
HOM102604,22:27:39,73,1,1224,7
HOM102604,22:27:41,61,2,1223,7
HOM102604,22:27:43,76,1,1223,7
HOM102604,22:27:45,68,1,1223,7
HOM102604,22:27:47,70,2,1223,7
HOM102604,22:27:49,76,1,1223,7
HOM102604,22:27:51,59,10,1223,7
HOM102604,22:27:53,67,1,1222,7
HOM102604,22:27:55,65,1,1222,7
HOM102604,22:27:57,70,2,1223,7
HOM102604,22:27:59,73,1,1223,7
HOM102604,22:28:01,62,0,1223,7
HOM102604,22:28:03,67,1,1224,7
HOM102604,22:28:05,75,1,1225,7
HOM102604,22:28:07,67,1,1225,7
HOM102604,22:28:09,72,1,1225,7
HOM102604,22:28:11,61,1,1226,7
HOM102604,22:28:13,70,1,1226,7
HOM102604,22:28:15,75,1,1226,7
HOM102604,22:28:17,66,2,1226,7
HOM102604,22:28:19,67,1,1227,7
HOM102604,22:28:21,63,1,1227,7
HOM102604,22:28:23,67,2,1226,7
HOM102604,22:28:25,83,1,1227,7
HOM102604,22:28:27,58,1,1229,8
HOM102604,22:28:29,67,28,1228,7
HOM102604,22:28:31,70,1,1228,7
HOM102604,22:28:33,69,2,1229,8
HOM102604,22:28:35,67,1,1229,8
HOM102604,22:28:37,72,1,1216,7
HOM102604,22:28:39,75,2,1216,7
HOM102604,22:28:41,58,1,1216,7
HOM102604,22:28:43,64,1,1216,7
HOM102604,22:28:45,67,1,1216,7
HOM102604,22:28:47,61,2,1216,7
HOM102604,22:28:49,80,2,1216,7
HOM102604,22:28:51,66,41,1216,7
HOM102604,22:28:53,64,1,1217,7
HOM102604,22:28:55,71,1,1216,7
HOM102604,22:28:57,63,1,1216,7
HOM102604,22:28:59,68,4,1216,7
HOM102604,22:29:01,66,1,1216,7
HOM102604,22:29:03,71,2,1217,7
HOM102604,22:29:05,79,1,1218,7
HOM102604,22:29:07,66,1,1218,7
HOM102604,22:29:09,69,1,1218,7
HOM102604,22:29:11,71,1,1218,7
HOM102604,22:29:13,69,4,1226,7
HOM102604,22:29:15,76,4,1233,8
HOM102604,22:29:17,60,11,1238,8
HOM102604,22:29:19,73,2,1239,8
HOM102604,22:29:21,74,16,1240,8
HOM102604,22:29:23,73,2,1240,8
HOM102604,22:29:25,76,2,1239,8
HOM102604,22:29:27,66,1,1239,8
HOM102604,22:29:29,73,4,1240,8
HOM102604,22:29:31,66,1,1240,8
HOM102604,22:29:33,76,1,1241,8
HOM102604,22:29:35,57,4,1242,8
HOM102604,22:29:37,71,1,1236,8
HOM102604,22:29:39,77,1,1235,8
HOM102604,22:29:41,70,1,1235,8
HOM102604,22:29:43,76,1,1237,8
HOM102604,22:29:45,70,1,1237,8
HOM102604,22:29:47,67,4,1236,8
HOM102604,22:29:49,67,2,1235,8
HOM102604,22:29:51,68,2,1235,8
HOM102604,22:29:53,71,1,1235,8
HOM102604,22:29:55,70,1,1236,8
HOM102604,22:29:57,73,1,1236,8
HOM102604,22:29:59,62,2,1236,8
HOM102604,22:30:01,68,1,1237,8
HOM102604,22:30:03,73,1,1237,8
HOM102604,22:30:05,61,4,1237,8
HOM102604,22:30:07,79,1,1237,8
HOM102604,22:30:09,67,7,1242,8
HOM102604,22:30:11,73,4,1241,8
HOM102604,22:30:13,59,1,1241,8
HOM102604,22:30:15,75,1,1241,8
HOM102604,22:30:17,62,2,1242,8
HOM102604,22:30:19,73,1,1242,8
HOM102604,22:30:21,59,2,1242,8
HOM102604,22:30:23,73,1,1242,8
HOM102604,22:30:25,67,2,1241,8
HOM102604,22:30:27,75,0,1242,8
HOM102604,22:30:29,61,1,1242,8
HOM102604,22:30:31,76,2,1243,8
HOM102604,22:30:33,59,2,1243,8
HOM102604,22:30:35,73,1,1244,8
HOM102604,22:30:37,59,1,1238,8
HOM102604,22:30:39,72,1,1236,8
HOM102604,22:30:41,67,2,1236,8
HOM102604,22:30:43,70,1,1235,8
HOM102604,22:30:45,77,4,1235,8
HOM102604,22:30:47,69,1,1235,8
HOM102604,22:30:49,70,4,1235,8
HOM102604,22:30:51,69,1,1235,8
HOM102604,22:30:53,67,1,1235,8
HOM102604,22:30:55,72,2,1236,8
HOM102604,22:30:57,77,1,1237,8
HOM102604,22:30:59,67,1,1237,8
HOM102604,22:31:01,69,2,1237,8
HOM102604,22:31:03,71,1,1238,8
HOM102604,22:31:05,71,2,1239,8
HOM102604,22:31:07,74,1,1239,8
HOM102604,22:31:09,69,1,1240,8
HOM102604,22:31:11,71,2,1240,8
